include,exclude_reason,source_types,texts,url,from_urls
no,outside-healthy-eating-scope,global,Make a Memorial Gift | Haz un regalo conmemorativo,https://mygiving.heart.org/-/XWUBJXQE,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,sidebar,Donate Once | Donar una vez,https://mygiving.heart.org/-/XXRCJWZY,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,global,,https://nationalhealthcouncil.org/standards-of-excellence,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,global|sidebar,Media Newsroom | Sala de prensa de medios | Sala de prensa de la AHA/ASA,https://newsroom.heart.org,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,inline,policy statement,https://newsroom.heart.org/news/policy-recommendations-offer-strategies-to-close-significant-gaps-in-nutrition-security,https://www.heart.org/en/healthy-living/healthy-eating/nutrition-security
no,outside-healthy-eating-scope,sidebar,National Hypertension Control Initiative,https://nhci.heart.org,https://recipes.heart.org/en | https://recipes.heart.org | https://recipes.heart.org/en/recipes/blueberry-mango-smoothie
no,outside-healthy-eating-scope,global|sidebar,Donate Monthly | Donar mensualmente,https://pages.heart.org/drtv_helpheart,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
no,outside-healthy-eating-scope,inline,,https://pinterest.com/pin/create/bookmarklet,https://recipes.heart.org/en/recipes/blueberry-mango-smoothie
no,outside-healthy-eating-scope,inline,Google,https://play.google.com/store/search,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/aha-cookbooks/instant-and-healthy-cookbook
no,outside-healthy-eating-scope,global|sidebar,Professional Heart Daily,https://professional.heart.org/en,https://www.heart.org/en/healthy-living/healthy-eating | https://www.heart.org/en/healthy-living/healthy-eating/add-color | https://www.heart.org/en/healthy-living/healthy-eating/cooking-skills | https://www.heart.org/en/healthy-living/healthy-eating/eat-smart | https://www.heart.org/en/healthy-living/healthy-eating/healthy-food-facts | https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods | https://www.heart.org/en/healthy-living/healthy-eating/losing-weight | https://recipes.heart.org/en | https://www.heart.org/en/healthy-living/healthy-eating/together-tuesdays | https://recipes.heart.org
