order,source_types,link_texts,input_url,final_url,title,bucket,screenshot_file,status,error
67,inline|sidebar,How does alcohol impact health? | Is drinking alcohol part of a healthy lifestyle?,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/alcohol-and-heart-health,https://www.heart.org/en/healthy-living/healthy-eating/eat-smart/nutrition-basics/alcohol-and-heart-health,Is drinking alcohol part of a healthy lifestyle? | American Heart Association,eat-smart,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/67__heart-org-en-healthy-living-healthy-eating-eat-smart-nutrition-basics-alcohol-and-heart-health.png,ok,
68,inline|sidebar,How much should I weigh? | Body Mass Index in Adults,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/bmi-in-adults,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/bmi-in-adults,Body Mass Index in Adults | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/68__heart-org-en-healthy-living-healthy-eating-losing-weight-bmi-in-adults.png,ok,
69,inline|sidebar,How can I not feel hungry while losing weight? | Fiber Up,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/fiber-up,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/fiber-up,Fiber Up | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/69__heart-org-en-healthy-living-healthy-eating-losing-weight-fiber-up.png,ok,
70,inline|sidebar,Is eating or activity more important for weight loss? | 5 Steps to Lose Weight and Keep It Off,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/5-steps-to-lose-weight-and-keep-it-off,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/5-steps-to-lose-weight-and-keep-it-off,5 Steps to Lose Weight and Keep It Off | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/70__heart-org-en-healthy-living-healthy-eating-losing-weight-5-steps-to-lose-weight-and-keep-it-off.png,ok,
71,inline|sidebar,How can I lose weight in a healthy way? | Keeping a Healthy Body Weight,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/keeping-a-healthy-body-weight,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/keeping-a-healthy-body-weight,Keeping a Healthy Body Weight | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/71__heart-org-en-healthy-living-healthy-eating-losing-weight-keeping-a-healthy-body-weight.png,ok,
72,inline|sidebar,What are ways to stop food cravings? | Healthy Food Substitutions | Conquer Cravings with These Healthy Substitutions,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/conquer-cravings-with-these-healthy-substitutions,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/conquer-cravings-with-these-healthy-substitutions,Conquer Cravings with These Healthy Substitutions | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/72__heart-org-en-healthy-living-healthy-eating-losing-weight-conquer-cravings-with-these-healthy-substitutions.png,ok,
73,inline|sidebar,Why trust the Heart-Check? | Heart-Check: A Small Check That Can Make a Big Difference,https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods/heart-check-a-small-check-that-can-make-a-big-difference,https://www.heart.org/en/healthy-living/healthy-eating/heart-check-foods/heart-check-a-small-check-that-can-make-a-big-difference,Heart-Check: A Small Check That Can Make a Big Difference | American Heart Association,heart-check-foods,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/73__heart-org-en-healthy-living-healthy-eating-heart-check-foods-heart-check-a-small-check-that-can-make-a-big-difference.png,ok,
74,inline|sidebar,Cooking For Weight Loss,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/cooking-for-weight-loss,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/cooking-for-weight-loss,Cooking For Weight Loss | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/74__heart-org-en-healthy-living-healthy-eating-losing-weight-cooking-for-weight-loss.png,ok,
75,inline|sidebar,BMI in Children | Body Mass Index in Children,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/bmi-in-children,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/bmi-in-children,Body Mass Index in Children | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/75__heart-org-en-healthy-living-healthy-eating-losing-weight-bmi-in-children.png,ok,
76,inline|sidebar,"Extreme Obesity, And What You Can Do | Understanding Excess Weight and Supportive Solutions",https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/understanding-excess-weight-and-supportive-solutions,https://www.heart.org/en/healthy-living/healthy-eating/losing-weight/understanding-excess-weight-and-supportive-solutions,Understanding Excess Weight and Supportive Solutions | American Heart Association,losing-weight,reference/evidence/screenshots/aha-healthy-eating-topic-network-2026-04-29/76__heart-org-en-healthy-living-healthy-eating-losing-weight-understanding-excess-weight-and-supportive-solutions.png,ok,
